"DT_INCLUSAO";"Qualificação_Municípios.Região Covid-19";"Total de Casos";"Cod_Região";"Cod_Macro"
"22/05/2020";"Caxias do Sul - R23, R24, R25, R26";73;23;"SE"
"19/05/2020";"Caxias do Sul - R23, R24, R25, R26";903;23;"SE"
"19/05/2020";"Porto Alegre - R10";132;10;"ME"
"19/05/2020";"Passo Fundo - R17, R18, R19";824;17;"NO"
"22/05/2020";"Canoas - R08";18;8;"ME"
"19/05/2020";"Canoas - R08";175;8;"ME"
"19/05/2020";"Novo Hamburgo - R07";260;7;"ME"
"22/05/2020";"Palmeira das Missões - R15, R20";10;15;"NO"
"22/05/2020";"Lajeado - R29, R30";218;29;"VA"
"22/05/2020";"Porto Alegre - R10";11;10;"ME"
"22/05/2020";"Bagé - R22";1;22;"SU"
"19/05/2020";"Bagé - R22";26;22;"SU"
"22/05/2020";"Erechim - R16";31;16;"NO"
"19/05/2020";"Erechim - R16";82;16;"NO"
"19/05/2020";"Guaíba - R09";58;9;"ME"
"19/05/2020";"Lajeado - R29, R30";724;29;"VA"
"19/05/2020";"Ijuí - R13";23;13;"MI"
"19/05/2020";"Uruguaiana - R03";81;3;"CO"
"19/05/2020";"Santa Cruz do Sul - R28";185;28;"VA"
"22/05/2020";"Guaíba - R09";5;9;"ME"
"22/05/2020";"Passo Fundo - R17, R18, R19";34;17;"NO"
"22/05/2020";"Cruz Alta - R12";3;12;"MI"
"19/05/2020";"Santa Rosa - R14";28;14;"MI"
"19/05/2020";"Palmeira das Missões - R15, R20";128;15;"NO"
"22/05/2020";"Novo Hamburgo - R07";5;7;"ME"
"19/05/2020";"Santa Maria - R01, R02";110;1;"CO"
"19/05/2020";"Cruz Alta - R12";41;12;"MI"
"22/05/2020";"Santa Maria - R01, R02";8;1;"CO"
"19/05/2020";"Capão da Canoa - R04, R05";98;4;"ME"
"19/05/2020";"Cachoeira do Sul - R27";15;27;"VA"
"19/05/2020";"Pelotas - R21";60;21;"SU"
"21/05/2020";"Santo Ângelo - R11";7;11;"MI"
"21/05/2020";"Caxias do Sul - R23, R24, R25, R26";124;23;"SE"
"02/06/2020";"Novo Hamburgo - R07";30;7;"ME"
"02/06/2020";"Passo Fundo - R17, R18, R19";58;17;"NO"
"19/05/2020";"Santo Ângelo - R11";23;11;"MI"
"19/05/2020";"Taquara - R06";9;6;"ME"
"04/06/2020";"Canoas - R08";34;8;"ME"
"21/05/2020";"Lajeado - R29, R30";217;29;"VA"
"04/06/2020";"Capão da Canoa - R04, R05";5;4;"ME"
"04/06/2020";"Porto Alegre - R10";189;10;"ME"
"21/05/2020";"Passo Fundo - R17, R18, R19";38;17;"NO"
"21/05/2020";"Santa Cruz do Sul - R28";11;28;"VA"
"04/06/2020";"Caxias do Sul - R23, R24, R25, R26";86;23;"SE"
"04/06/2020";"Santo Ângelo - R11";5;11;"MI"
"04/06/2020";"Santa Cruz do Sul - R28";6;28;"VA"
"28/05/2020";"Lajeado - R29, R30";261;29;"VA"
"28/05/2020";"Novo Hamburgo - R07";41;7;"ME"
"28/05/2020";"Passo Fundo - R17, R18, R19";222;17;"NO"
"28/05/2020";"Canoas - R08";58;8;"ME"
"27/05/2020";"Lajeado - R29, R30";103;29;"VA"
"27/05/2020";"Caxias do Sul - R23, R24, R25, R26";57;23;"SE"
"27/05/2020";"Erechim - R16";7;16;"NO"
"27/05/2020";"Santa Cruz do Sul - R28";8;28;"VA"
"27/05/2020";"Porto Alegre - R10";8;10;"ME"
"27/05/2020";"Passo Fundo - R17, R18, R19";25;17;"NO"
"27/05/2020";"Uruguaiana - R03";6;3;"CO"
"29/05/2020";"Porto Alegre - R10";598;10;"ME"
"29/05/2020";"Novo Hamburgo - R07";25;7;"ME"
"29/05/2020";"Passo Fundo - R17, R18, R19";84;17;"NO"
"29/05/2020";"Lajeado - R29, R30";80;29;"VA"
"29/05/2020";"Capão da Canoa - R04, R05";23;4;"ME"
"29/05/2020";"Santa Maria - R01, R02";23;1;"CO"
"29/05/2020";"Palmeira das Missões - R15, R20";24;15;"NO"
"29/05/2020";"Canoas - R08";46;8;"ME"
"27/05/2020";"Santa Rosa - R14";2;14;"MI"
"29/05/2020";"Caxias do Sul - R23, R24, R25, R26";105;23;"SE"
"29/05/2020";"Cachoeira do Sul - R27";4;27;"VA"
"29/05/2020";"Guaíba - R09";14;9;"ME"
"29/05/2020";"Pelotas - R21";13;21;"SU"
"23/05/2020";"Lajeado - R29, R30";181;29;"VA"
"23/05/2020";"Novo Hamburgo - R07";21;7;"ME"
"21/05/2020";"Santa Maria - R01, R02";7;1;"CO"
"29/05/2020";"Uruguaiana - R03";7;3;"CO"
"29/05/2020";"Santa Cruz do Sul - R28";5;28;"VA"
"26/05/2020";"Passo Fundo - R17, R18, R19";19;17;"NO"
"26/05/2020";"Uruguaiana - R03";9;3;"CO"
"26/05/2020";"Cruz Alta - R12";3;12;"MI"
"26/05/2020";"Canoas - R08";18;8;"ME"
"26/05/2020";"Santa Cruz do Sul - R28";15;28;"VA"
"26/05/2020";"Palmeira das Missões - R15, R20";5;15;"NO"
"29/05/2020";"Erechim - R16";34;16;"NO"
"23/05/2020";"Passo Fundo - R17, R18, R19";33;17;"NO"
"23/05/2020";"Santa Cruz do Sul - R28";16;28;"VA"
"23/05/2020";"Canoas - R08";14;8;"ME"
"23/05/2020";"Erechim - R16";8;16;"NO"
"23/05/2020";"Caxias do Sul - R23, R24, R25, R26";55;23;"SE"
"28/05/2020";"Cruz Alta - R12";3;12;"MI"
"28/05/2020";"Uruguaiana - R03";14;3;"CO"
"28/05/2020";"Santo Ângelo - R11";15;11;"MI"
"28/05/2020";"Capão da Canoa - R04, R05";9;4;"ME"
"28/05/2020";"Pelotas - R21";12;21;"SU"
"28/05/2020";"Caxias do Sul - R23, R24, R25, R26";260;23;"SE"
"21/05/2020";"Novo Hamburgo - R07";17;7;"ME"
"21/05/2020";"Palmeira das Missões - R15, R20";23;15;"NO"
"25/05/2020";"Santa Cruz do Sul - R28";14;28;"VA"
"25/05/2020";"Erechim - R16";3;16;"NO"
"25/05/2020";"Porto Alegre - R10";4;10;"ME"
"25/05/2020";"Caxias do Sul - R23, R24, R25, R26";12;23;"SE"
"25/05/2020";"Novo Hamburgo - R07";6;7;"ME"
"25/05/2020";"Guaíba - R09";4;9;"ME"
"25/05/2020";"Canoas - R08";3;8;"ME"
"26/05/2020";"Caxias do Sul - R23, R24, R25, R26";19;23;"SE"
"26/05/2020";"Santa Maria - R01, R02";8;1;"CO"
"26/05/2020";"Novo Hamburgo - R07";23;7;"ME"
"28/05/2020";"Guaíba - R09";23;9;"ME"
"28/05/2020";"Porto Alegre - R10";29;10;"ME"
"28/05/2020";"Santa Maria - R01, R02";45;1;"CO"
"23/05/2020";"Guaíba - R09";2;9;"ME"
"28/05/2020";"Santa Cruz do Sul - R28";14;28;"VA"
"21/05/2020";"Erechim - R16";18;16;"NO"
"21/05/2020";"Porto Alegre - R10";3;10;"ME"
"29/05/2020";"Cruz Alta - R12";4;12;"MI"
"22/05/2020";"Santa Cruz do Sul - R28";4;28;"VA"
"22/05/2020";"Capão da Canoa - R04, R05";2;4;"ME"
"22/05/2020";"Uruguaiana - R03";5;3;"CO"
"22/05/2020";"Santo Ângelo - R11";2;11;"MI"
"28/05/2020";"Cachoeira do Sul - R27";4;27;"VA"
"23/05/2020";"Palmeira das Missões - R15, R20";24;15;"NO"
"23/05/2020";"Cachoeira do Sul - R27";3;27;"VA"
"23/05/2020";"Pelotas - R21";6;21;"SU"
"24/05/2020";"Lajeado - R29, R30";25;29;"VA"
"24/05/2020";"Cachoeira do Sul - R27";3;27;"VA"
"24/05/2020";"Caxias do Sul - R23, R24, R25, R26";42;23;"SE"
"24/05/2020";"Bagé - R22";4;22;"SU"
"21/05/2020";"Capão da Canoa - R04, R05";16;4;"ME"
"04/06/2020";"Lajeado - R29, R30";61;29;"VA"
"26/05/2020";"Erechim - R16";3;16;"NO"
"26/05/2020";"Lajeado - R29, R30";69;29;"VA"
"26/05/2020";"Porto Alegre - R10";11;10;"ME"
"26/05/2020";"Cachoeira do Sul - R27";4;27;"VA"
"24/05/2020";"Palmeira das Missões - R15, R20";9;15;"NO"
"24/05/2020";"Erechim - R16";3;16;"NO"
"24/05/2020";"Passo Fundo - R17, R18, R19";17;17;"NO"
"24/05/2020";"Capão da Canoa - R04, R05";6;4;"ME"
"24/05/2020";"Pelotas - R21";6;21;"SU"
"24/05/2020";"Santo Ângelo - R11";1;11;"MI"
"24/05/2020";"Canoas - R08";5;8;"ME"
"24/05/2020";"Santa Maria - R01, R02";3;1;"CO"
"24/05/2020";"Taquara - R06";1;6;"ME"
"25/05/2020";"Lajeado - R29, R30";29;29;"VA"
"25/05/2020";"Passo Fundo - R17, R18, R19";5;17;"NO"
"25/05/2020";"Cruz Alta - R12";1;12;"MI"
"25/05/2020";"Bagé - R22";1;22;"SU"
"23/05/2020";"Santa Maria - R01, R02";4;1;"CO"
"23/05/2020";"Santo Ângelo - R11";7;11;"MI"
"23/05/2020";"Porto Alegre - R10";2;10;"ME"
"26/05/2020";"Guaíba - R09";5;9;"ME"
"28/05/2020";"Ijuí - R13";5;13;"MI"
"28/05/2020";"Bagé - R22";6;22;"SU"
"28/05/2020";"Erechim - R16";68;16;"NO"
"25/05/2020";"Santa Maria - R01, R02";4;1;"CO"
