"Data Entrada UTI";"Qualificação_Municípios.Região Covid-19";"IDADE (grupos)";"Novas Hospitalizações";"Cod_Região";"Cod_Macro"
"22/03/2020";"Guaíba - R09";"DE 55 A 59 ANOS";1;9;"ME"
"24/05/2021";"Guaíba - R09";"DE 55 A 59 ANOS";2;9;"ME"
"16/06/2021";"Guaíba - R09";"DE 35 A 39 ANOS";1;9;"ME"
"11/07/2021";"Guaíba - R09";"DE 30 A 34 ANOS";1;9;"ME"
"23/03/2020";"Porto Alegre - R10";"80 ANOS OU MAIS";1;10;"ME"
"26/03/2020";"Porto Alegre - R10";"DE 65 A 69 ANOS";1;10;"ME"
"18/03/2020";"Porto Alegre - R10";"DE 35 A 39 ANOS";1;10;"ME"
"24/03/2020";"Porto Alegre - R10";"DE 65 A 69 ANOS";1;10;"ME"
"28/03/2020";"Porto Alegre - R10";"DE 70 A 74 ANOS";1;10;"ME"
"20/03/2020";"Porto Alegre - R10";"DE 70 A 74 ANOS";1;10;"ME"
"24/03/2020";"Porto Alegre - R10";"DE 35 A 39 ANOS";1;10;"ME"
"28/03/2020";"Porto Alegre - R10";"DE 65 A 69 ANOS";1;10;"ME"
"27/03/2020";"Porto Alegre - R10";"80 ANOS OU MAIS";1;10;"ME"
"27/03/2020";"Porto Alegre - R10";"DE 30 A 34 ANOS";1;10;"ME"
"01/04/2020";"Porto Alegre - R10";"DE 75 A 79 ANOS";2;10;"ME"
"25/03/2020";"Porto Alegre - R10";"DE 75 A 79 ANOS";1;10;"ME"
"30/03/2020";"Porto Alegre - R10";"DE 70 A 74 ANOS";1;10;"ME"
"18/03/2020";"Porto Alegre - R10";"80 ANOS OU MAIS";1;10;"ME"
"27/03/2020";"Porto Alegre - R10";"DE 60 A 64 ANOS";1;10;"ME"
"20/03/2020";"Porto Alegre - R10";"80 ANOS OU MAIS";1;10;"ME"
"22/03/2020";"Porto Alegre - R10";"DE 30 A 34 ANOS";1;10;"ME"
"29/03/2020";"Porto Alegre - R10";"DE 45 A 49 ANOS";1;10;"ME"
"26/03/2020";"Porto Alegre - R10";"DE 75 A 79 ANOS";1;10;"ME"
"21/03/2020";"Porto Alegre - R10";"DE 55 A 59 ANOS";1;10;"ME"
"08/04/2020";"Porto Alegre - R10";"DE 35 A 39 ANOS";1;10;"ME"
"29/03/2020";"Porto Alegre - R10";"DE 75 A 79 ANOS";1;10;"ME"
"01/04/2020";"Porto Alegre - R10";"DE 65 A 69 ANOS";1;10;"ME"
"30/03/2020";"Porto Alegre - R10";"DE 60 A 64 ANOS";1;10;"ME"
"31/03/2020";"Porto Alegre - R10";"DE 70 A 74 ANOS";2;10;"ME"
"02/04/2020";"Porto Alegre - R10";"DE 70 A 74 ANOS";1;10;"ME"
"29/03/2020";"Porto Alegre - R10";"80 ANOS OU MAIS";2;10;"ME"
"17/07/2020";"Porto Alegre - R10";"80 ANOS OU MAIS";3;10;"ME"
"16/04/2020";"Porto Alegre - R10";"80 ANOS OU MAIS";1;10;"ME"
"14/04/2020";"Porto Alegre - R10";"80 ANOS OU MAIS";1;10;"ME"
"28/03/2020";"Porto Alegre - R10";"80 ANOS OU MAIS";1;10;"ME"
"02/04/2020";"Porto Alegre - R10";"DE 55 A 59 ANOS";1;10;"ME"
"03/04/2020";"Porto Alegre - R10";"DE 65 A 69 ANOS";2;10;"ME"
"03/04/2020";"Porto Alegre - R10";"80 ANOS OU MAIS";1;10;"ME"
"07/04/2020";"Porto Alegre - R10";"DE 70 A 74 ANOS";1;10;"ME"
"17/04/2020";"Porto Alegre - R10";"80 ANOS OU MAIS";1;10;"ME"
"13/04/2020";"Porto Alegre - R10";"DE 75 A 79 ANOS";1;10;"ME"
"14/04/2020";"Porto Alegre - R10";"DE 60 A 64 ANOS";1;10;"ME"
"15/04/2020";"Porto Alegre - R10";"DE 70 A 74 ANOS";1;10;"ME"
"11/04/2020";"Porto Alegre - R10";"DE 65 A 69 ANOS";1;10;"ME"
"24/04/2020";"Porto Alegre - R10";"DE 65 A 69 ANOS";1;10;"ME"
"16/04/2020";"Porto Alegre - R10";"DE 40 A 44 ANOS";1;10;"ME"
"09/04/2020";"Porto Alegre - R10";"DE 45 A 49 ANOS";1;10;"ME"
"15/04/2020";"Porto Alegre - R10";"DE 65 A 69 ANOS";2;10;"ME"
"22/04/2020";"Porto Alegre - R10";"DE 60 A 64 ANOS";1;10;"ME"
"24/04/2020";"Porto Alegre - R10";"DE 40 A 44 ANOS";1;10;"ME"
"18/04/2020";"Porto Alegre - R10";"80 ANOS OU MAIS";1;10;"ME"
"23/04/2020";"Porto Alegre - R10";"DE 75 A 79 ANOS";2;10;"ME"
"29/04/2020";"Porto Alegre - R10";"DE 55 A 59 ANOS";1;10;"ME"
"07/05/2020";"Porto Alegre - R10";"80 ANOS OU MAIS";1;10;"ME"
"29/04/2020";"Porto Alegre - R10";"DE 70 A 74 ANOS";1;10;"ME"
"03/05/2020";"Porto Alegre - R10";"DE 20 A 24 ANOS";1;10;"ME"
"07/05/2020";"Porto Alegre - R10";"DE 40 A 44 ANOS";1;10;"ME"
"30/04/2020";"Porto Alegre - R10";"DE 55 A 59 ANOS";1;10;"ME"
"02/05/2020";"Porto Alegre - R10";"DE 30 A 34 ANOS";1;10;"ME"
"09/05/2020";"Porto Alegre - R10";"DE 65 A 69 ANOS";1;10;"ME"
"26/04/2020";"Porto Alegre - R10";"DE 5 A 9 ANOS";1;10;"ME"
"30/04/2020";"Porto Alegre - R10";"DE 75 A 79 ANOS";1;10;"ME"
"01/05/2020";"Porto Alegre - R10";"80 ANOS OU MAIS";1;10;"ME"
"06/05/2020";"Porto Alegre - R10";"DE 45 A 49 ANOS";1;10;"ME"
"29/04/2020";"Porto Alegre - R10";"80 ANOS OU MAIS";2;10;"ME"
"03/05/2020";"Porto Alegre - R10";"DE 35 A 39 ANOS";1;10;"ME"
"04/05/2020";"Porto Alegre - R10";"80 ANOS OU MAIS";1;10;"ME"
