"Data_Hosp";"Qualificação_Municípios.Região Covid-19";"Confirmados em UTI (Adulto + Pediátrico)";"Cod_Região";"Cod_Macro"
"20/05/2020";"Bagé - R22";0;22;"SU"
"21/05/2020";"Bagé - R22";0;22;"SU"
"22/05/2020";"Bagé - R22";0;22;"SU"
"23/05/2020";"Bagé - R22";0;22;"SU"
"24/05/2020";"Bagé - R22";0;22;"SU"
"25/05/2020";"Bagé - R22";0;22;"SU"
"26/05/2020";"Bagé - R22";0;22;"SU"
"27/05/2020";"Bagé - R22";0;22;"SU"
"28/05/2020";"Bagé - R22";0;22;"SU"
"29/05/2020";"Bagé - R22";0;22;"SU"
"30/05/2020";"Bagé - R22";0;22;"SU"
"31/05/2020";"Bagé - R22";0;22;"SU"
"01/06/2020";"Bagé - R22";0;22;"SU"
"02/06/2020";"Bagé - R22";0;22;"SU"
"03/06/2020";"Bagé - R22";1;22;"SU"
"04/06/2020";"Bagé - R22";1;22;"SU"
"05/06/2020";"Bagé - R22";1;22;"SU"
"06/06/2020";"Bagé - R22";2;22;"SU"
"07/06/2020";"Bagé - R22";0;22;"SU"
"08/06/2020";"Bagé - R22";0;22;"SU"
"09/06/2020";"Bagé - R22";0;22;"SU"
"10/06/2020";"Bagé - R22";0;22;"SU"
"11/06/2020";"Bagé - R22";1;22;"SU"
"12/06/2020";"Bagé - R22";1;22;"SU"
"13/06/2020";"Bagé - R22";0;22;"SU"
"14/06/2020";"Bagé - R22";0;22;"SU"
"15/06/2020";"Bagé - R22";0;22;"SU"
"16/06/2020";"Bagé - R22";0;22;"SU"
"17/06/2020";"Bagé - R22";0;22;"SU"
"18/06/2020";"Bagé - R22";0;22;"SU"
"19/06/2020";"Bagé - R22";1;22;"SU"
"20/06/2020";"Bagé - R22";1;22;"SU"
"21/06/2020";"Bagé - R22";1;22;"SU"
"22/06/2020";"Bagé - R22";1;22;"SU"
"23/06/2020";"Bagé - R22";1;22;"SU"
"24/06/2020";"Bagé - R22";1;22;"SU"
"25/06/2020";"Bagé - R22";1;22;"SU"
"26/06/2020";"Bagé - R22";1;22;"SU"
"27/06/2020";"Bagé - R22";2;22;"SU"
"28/06/2020";"Bagé - R22";2;22;"SU"
"29/06/2020";"Bagé - R22";2;22;"SU"
"30/06/2020";"Bagé - R22";2;22;"SU"
"01/07/2020";"Bagé - R22";1;22;"SU"
"02/07/2020";"Bagé - R22";2;22;"SU"
"03/07/2020";"Bagé - R22";2;22;"SU"
"04/07/2020";"Bagé - R22";3;22;"SU"
"05/07/2020";"Bagé - R22";3;22;"SU"
"06/07/2020";"Bagé - R22";3;22;"SU"
"07/07/2020";"Bagé - R22";2;22;"SU"
"08/07/2020";"Bagé - R22";2;22;"SU"
"09/07/2020";"Bagé - R22";2;22;"SU"
"10/07/2020";"Bagé - R22";3;22;"SU"
"11/07/2020";"Bagé - R22";2;22;"SU"
"12/07/2020";"Bagé - R22";0;22;"SU"
"13/07/2020";"Bagé - R22";2;22;"SU"
"14/07/2020";"Bagé - R22";3;22;"SU"
"15/07/2020";"Bagé - R22";2;22;"SU"
"16/07/2020";"Bagé - R22";0;22;"SU"
"17/07/2020";"Bagé - R22";1;22;"SU"
"18/07/2020";"Bagé - R22";1;22;"SU"
"19/07/2020";"Bagé - R22";2;22;"SU"
"20/07/2020";"Bagé - R22";4;22;"SU"
"21/07/2020";"Bagé - R22";4;22;"SU"
"22/07/2020";"Bagé - R22";3;22;"SU"
"23/07/2020";"Bagé - R22";3;22;"SU"
"24/07/2020";"Bagé - R22";5;22;"SU"
"25/07/2020";"Bagé - R22";4;22;"SU"
"26/07/2020";"Bagé - R22";6;22;"SU"
"27/07/2020";"Bagé - R22";8;22;"SU"
"28/07/2020";"Bagé - R22";8;22;"SU"
"29/07/2020";"Bagé - R22";5;22;"SU"
"30/07/2020";"Bagé - R22";4;22;"SU"
"31/07/2020";"Bagé - R22";4;22;"SU"
"01/08/2020";"Bagé - R22";6;22;"SU"
"02/08/2020";"Bagé - R22";5;22;"SU"
"03/08/2020";"Bagé - R22";6;22;"SU"
"04/08/2020";"Bagé - R22";5;22;"SU"
"05/08/2020";"Bagé - R22";4;22;"SU"
"06/08/2020";"Bagé - R22";4;22;"SU"
"07/08/2020";"Bagé - R22";4;22;"SU"
"08/08/2020";"Bagé - R22";1;22;"SU"
"09/08/2020";"Bagé - R22";1;22;"SU"
"10/08/2020";"Bagé - R22";3;22;"SU"
"11/08/2020";"Bagé - R22";2;22;"SU"
"12/08/2020";"Bagé - R22";2;22;"SU"
"13/08/2020";"Bagé - R22";2;22;"SU"
"14/08/2020";"Bagé - R22";1;22;"SU"
"15/08/2020";"Bagé - R22";2;22;"SU"
"16/08/2020";"Bagé - R22";2;22;"SU"
"17/08/2020";"Bagé - R22";3;22;"SU"
"18/08/2020";"Bagé - R22";3;22;"SU"
"19/08/2020";"Bagé - R22";1;22;"SU"
"20/08/2020";"Bagé - R22";2;22;"SU"
"21/08/2020";"Bagé - R22";5;22;"SU"
"22/08/2020";"Bagé - R22";4;22;"SU"
"23/08/2020";"Bagé - R22";3;22;"SU"
"24/08/2020";"Bagé - R22";3;22;"SU"
"25/08/2020";"Bagé - R22";2;22;"SU"
"26/08/2020";"Bagé - R22";3;22;"SU"
"27/08/2020";"Bagé - R22";3;22;"SU"
"28/08/2020";"Bagé - R22";3;22;"SU"
"29/08/2020";"Bagé - R22";2;22;"SU"
"30/08/2020";"Bagé - R22";2;22;"SU"
"31/08/2020";"Bagé - R22";2;22;"SU"
"01/09/2020";"Bagé - R22";3;22;"SU"
"02/09/2020";"Bagé - R22";3;22;"SU"
"03/09/2020";"Bagé - R22";3;22;"SU"
"04/09/2020";"Bagé - R22";3;22;"SU"
"05/09/2020";"Bagé - R22";1;22;"SU"
"06/09/2020";"Bagé - R22";2;22;"SU"
"07/09/2020";"Bagé - R22";1;22;"SU"
"08/09/2020";"Bagé - R22";4;22;"SU"
"09/09/2020";"Bagé - R22";3;22;"SU"
"10/09/2020";"Bagé - R22";3;22;"SU"
"11/09/2020";"Bagé - R22";4;22;"SU"
"12/09/2020";"Bagé - R22";5;22;"SU"
"13/09/2020";"Bagé - R22";5;22;"SU"
"14/09/2020";"Bagé - R22";4;22;"SU"
"15/09/2020";"Bagé - R22";6;22;"SU"
"16/09/2020";"Bagé - R22";6;22;"SU"
"17/09/2020";"Bagé - R22";4;22;"SU"
"18/09/2020";"Bagé - R22";5;22;"SU"
"19/09/2020";"Bagé - R22";4;22;"SU"
"20/09/2020";"Bagé - R22";3;22;"SU"
"21/09/2020";"Bagé - R22";2;22;"SU"
"22/09/2020";"Bagé - R22";3;22;"SU"
"23/09/2020";"Bagé - R22";2;22;"SU"
"24/09/2020";"Bagé - R22";2;22;"SU"
"25/09/2020";"Bagé - R22";3;22;"SU"
"26/09/2020";"Bagé - R22";2;22;"SU"
